Bolsa;Campus;Curso;Quantidade                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
AUXÍLIO TRANSPORTE;GOVERNADOR VALADARES;EDUCAÇÃO FÍSICA;8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
AUXÍLIO TRANSPORTE;GOVERNADOR VALADARES;FARMÁCIA;18                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AUXÍLIO TRANSPORTE;GOVERNADOR VALADARES;FISIOTERAPIA;15                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AUXÍLIO TRANSPORTE;GOVERNADOR VALADARES;MEDICINA;10                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AUXÍLIO TRANSPORTE;GOVERNADOR VALADARES;NUTRIÇÃO;12                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AUXÍLIO TRANSPORTE;GOVERNADOR VALADARES;ODONTOLOGIA;8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
AUXÍLIO TRANSPORTE;JUIZ DE FORA;ABI - CIÊNCIAS BIOLÓGICAS;1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
AUXÍLIO TRANSPORTE;JUIZ DE FORA;ABI - CIÊNCIAS SOCIAIS;6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
AUXÍLIO TRANSPORTE;JUIZ DE FORA;ABI - EDUCAÇÃO FÍSICA;31                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
AUXÍLIO TRANSPORTE;JUIZ DE FORA;ABI - GEOGRAFIA;2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
AUXÍLIO TRANSPORTE;JUIZ DE FORA;ABI - HISTÓRIA;5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
AUXÍLIO TRANSPORTE;JUIZ DE FORA;ABI - LETRAS;3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
AUXÍLIO TRANSPORTE;JUIZ DE FORA;ABI - LETRAS ;1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
AUXÍLIO TRANSPORTE;JUIZ DE FORA;ADMINISTRAÇÃO;15                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
AUXÍLIO TRANSPORTE;JUIZ DE FORA;ARQUITETURA E URBANISMO;15                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
AUXÍLIO TRANSPORTE;JUIZ DE FORA;BACHARELADO EM ARTES VISUAIS;3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
AUXÍLIO TRANSPORTE;JUIZ DE FORA;BACHARELADO EM DESIGN;7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AUXÍLIO TRANSPORTE;JUIZ DE FORA;BACHARELADO EM MODA;7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
AUXÍLIO TRANSPORTE;JUIZ DE FORA;BACHARELADO INTERDISCIPLINAR EM ARTES E DESIGN;24                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
AUXÍLIO TRANSPORTE;JUIZ DE FORA;BACHARELADO INTERDISCIPLINAR EM CIÊNCIAS HUMANAS;25                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AUXÍLIO TRANSPORTE;JUIZ DE FORA;C.A. JOÃO XXIII - ENSINO FUNDAMENTAL;1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
AUXÍLIO TRANSPORTE;JUIZ DE FORA;C.A. JOÃO XXIII - ENSINO MÉDIO;1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
AUXÍLIO TRANSPORTE;JUIZ DE FORA;CIÊNCIA DA COMPUTAÇÃO;5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AUXÍLIO TRANSPORTE;JUIZ DE FORA;CIÊNCIA DA RELIGIÃO;1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
AUXÍLIO TRANSPORTE;JUIZ DE FORA;CIÊNCIAS BIOLÓGICAS;15                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
AUXÍLIO TRANSPORTE;JUIZ DE FORA;CIÊNCIAS CONTÁBEIS;13                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
AUXÍLIO TRANSPORTE;JUIZ DE FORA;CIÊNCIAS ECONÔMICAS;11                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
AUXÍLIO TRANSPORTE;JUIZ DE FORA;CIÊNCIAS EXATAS;14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
AUXÍLIO TRANSPORTE;JUIZ DE FORA;CIÊNCIAS SOCIAIS;4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
AUXÍLIO TRANSPORTE;JUIZ DE FORA;CINEMA E AUDIOVISUAL;9                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
AUXÍLIO TRANSPORTE;JUIZ DE FORA;DIREITO;37                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
AUXÍLIO TRANSPORTE;JUIZ DE FORA;EDUCAÇÃO FÍSICA;6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
AUXÍLIO TRANSPORTE;JUIZ DE FORA;ENFERMAGEM;33                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
AUXÍLIO TRANSPORTE;JUIZ DE FORA;ENGENHARIA AMBIENTAL E SANITÁRIA;11                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AUXÍLIO TRANSPORTE;JUIZ DE FORA;ENGENHARIA CIVIL;36                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AUXÍLIO TRANSPORTE;JUIZ DE FORA;ENGENHARIA COMPUTACIONAL;3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
AUXÍLIO TRANSPORTE;JUIZ DE FORA;ENGENHARIA DE PRODUÇÃO;21                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
AUXÍLIO TRANSPORTE;JUIZ DE FORA;ENGENHARIA ELÉTRICA -  TELECOMUNICAÇÕES;1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
AUXÍLIO TRANSPORTE;JUIZ DE FORA;ENGENHARIA ELÉTRICA - ENERGIA;9                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
AUXÍLIO TRANSPORTE;JUIZ DE FORA;ENGENHARIA ELÉTRICA - ROBÓTICA E AUTOMAÇÃO INDUSTRIAL;6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AUXÍLIO TRANSPORTE;JUIZ DE FORA;ENGENHARIA ELÉTRICA - SISTEMAS DE POTÊNCIA;8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
AUXÍLIO TRANSPORTE;JUIZ DE FORA;ENGENHARIA ELÉTRICA - SISTEMAS ELETRÔNICOS;11                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
AUXÍLIO TRANSPORTE;JUIZ DE FORA;ENGENHARIA ELÉTRICA - TELECOMUNICAÇÕES;10                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
AUXÍLIO TRANSPORTE;JUIZ DE FORA;ENGENHARIA MECÂNICA;4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
AUXÍLIO TRANSPORTE;JUIZ DE FORA;ESTATÍSTICA;2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
